Class,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
lpv,0.046,0.380472,2,0.3125,0.001,-3.3e-05,0.53286,13.620771,0.001849,0.013999999999999999,0.479167,0.00558,22.930151000000002
lpv,0.02675,0.017221,2,0.272727,0.012,1.1e-05,2.5104599999999997,15.424322,0.0008560000000000001,0.006999999999999999,0.5524479999999999,0.003307,20.284567000000003
ecl,0.151,0.0,4,0.17666700000000002,0.254,-0.001207,8.768822,15.428223000000001,0.006222999999999999,0.012,0.75,0.018396,0.513508
lpv,0.0275,0.006712999999999999,2,0.34,0.01,-1.4999999999999999e-05,0.170648,14.13829,0.000995,0.01,0.306667,0.002829,2165.93841
lpv,0.04975,0.459808,3,0.321101,0.009000000000000001,-2e-05,0.058565,12.925339,0.001834,0.013999999999999999,0.440367,0.005338,1.041754
lpv,1.32375,0.0,9,0.386207,-0.894,7.5e-05,0.165017,12.897352,0.064815,0.742,0.151724,0.142354,387.9307
lpv,0.018000000000000002,0.142271,2,0.31666700000000003,-0.0025,-3e-06,0.023503,15.466887,0.000606,0.006,0.513333,0.002457,18.318246
lpv,0.01325,0.256025,3,0.326241,0.002,-1.3000000000000001e-05,0.221729,14.059957,0.000478,0.005,0.390071,0.001209,133.805307
lpv,0.1785,0.008877,13,0.32,-0.03,-0.00013700000000000002,0.7178939999999999,15.029079999999999,0.00647,0.066,0.346667,0.017159999999999998,8741.847
lpv,0.03625,0.001127,8,0.346667,0.019,0.00024700000000000004,0.041825,15.042,0.001366,0.013000000000000001,0.386667,0.0035909999999999996,222.62357000000003
lpv,0.0165,0.6112449999999999,2,0.32195100000000004,0.004,-6e-06,0.165017,13.385415,0.000654,0.006,0.48292700000000005,0.0025399999999999997,9.105471000000001
lpv,0.1375,1.4000000000000001e-05,7,0.34,-0.016,-2.2e-05,0.11520699999999999,14.88265,0.005163,0.0625,0.263333,0.014551,695.2166440000001
lpv,0.046,0.007011,3,0.323333,0.012,-3.6e-05,4.40678,14.695793,0.0016010000000000002,0.017,0.34,0.004628,2704.2654399999997
lpv,0.094,0.00022999999999999998,6,0.271429,0.023,4e-06,0.015132,14.315729000000001,0.003327,0.0185,0.5428569999999999,0.011285,0.993793
lpv,0.10875,0.008522,8,0.368056,-0.0155,-0.000102,0.20089300000000002,13.216451000000001,0.004903,0.049,0.326389,0.014522,53.621777
lpv,0.016,0.397916,2,0.28972,-0.0045,-2e-06,0.076046,13.441251999999999,0.000593,0.005,0.41121499999999994,0.0017109999999999998,1.016298
lpv,0.0145,0.30501999999999996,2,0.323529,-0.001,6e-06,0.355082,13.428595999999999,0.0005650000000000001,0.005,0.448529,0.001638,22.199671
lpv,0.114,0.0012050000000000001,4,0.37666700000000003,-0.0405,4.2e-05,0.488202,14.360037,0.004264,0.0495,0.29,0.010999,29.958267
lpv,0.2185,0.0,15,0.37,0.019,7.099999999999999e-05,0.01187,13.96486,0.009108,0.10300000000000001,0.186667,0.019011,289.238335
lpv,0.094,0.00971,5,0.31666700000000003,-0.018000000000000002,-4.2e-05,1.509134,13.1918,0.0036829999999999996,0.03,0.463333,0.011290000000000001,666.4464
ecl,0.0955,0.0,4,0.383333,0.023,0.00088,15.760369,18.07834,0.00307,0.0465,0.303333,0.009101,0.349312
lpv,0.017,0.005224,3,0.276667,-0.0095,-2e-06,0.901526,13.742097,0.000651,0.006,0.496667,0.002547,266.09499500000004
rrlyr,0.0815,0.517305,1,0.282609,0.034,0.000177,0.17703,17.804064999999998,0.002595,0.0315,0.282609,0.00733,0.356018
lpv,0.0195,0.047189999999999996,2,0.31666700000000003,0.0035,5e-06,0.028863,14.868503,0.000735,0.008,0.4,0.002421,1450.6389199999999
rrlyr,0.12625,0.0,1,0.45604399999999995,-0.0305,8.1e-05,2.860323,17.060802,0.004899000000000001,0.076,0.14285699999999998,0.009753,0.253031
lpv,0.019,0.100136,2,0.31,0.009000000000000001,-5e-06,0.021625,13.31981,0.000745,0.0065,0.46,0.002816,0.9315120000000001
cep,0.07400000000000001,0.43940799999999997,1,0.326667,-0.0015,9e-06,5.569007,17.998089999999998,0.002171,0.0285,0.37,0.005723,0.341524
lpv,0.0205,0.0038299999999999996,1,0.283333,-0.0055,-2e-06,0.636672,14.71902,0.000642,0.006,0.566667,0.002582,0.994331
lpv,0.0175,0.044088,2,0.34,-0.005,5e-06,0.076834,15.093847,0.000599,0.006,0.37666700000000003,0.001656,2230.706268
lpv,0.013999999999999999,0.087809,2,0.30814,-0.0015,0.0,0.136154,15.359169,0.000442,0.0045,0.465116,0.0012699999999999999,14.233861
lpv,0.02375,0.12604100000000001,2,0.321739,-0.013000000000000001,-1.3000000000000001e-05,0.073665,15.051483,0.0009,0.009000000000000001,0.46956499999999995,0.003587,2151.043935
ecl,0.373,0.0,3,0.246667,0.434,-0.001749,35.451197,18.82156,0.011613,0.12300000000000001,0.396667,0.037648,0.193794
lpv,0.059000000000000004,0.023702,14,0.333333,0.01,-4.3e-05,0.30422899999999997,13.097357,0.0022649999999999997,0.021,0.326667,0.0054210000000000005,402.303634
ecl,0.24100000000000002,0.0,6,0.09666699999999999,0.4085,0.000129,12.712622999999999,18.137563,0.006176,0.0305,0.763333,0.027594,0.448967
lpv,0.02,0.265546,4,0.29,0.0015,-1e-06,0.256805,13.825197,0.000722,0.0065,0.5,0.002459,629.910005
lpv,0.02275,0.011346,6,0.37704899999999997,0.0045,-2.6000000000000002e-05,0.143318,14.259951000000001,0.0009140000000000001,0.011000000000000001,0.295082,0.002104,11.011516
t2cep,0.1955,0.0,1,0.406667,0.040999999999999995,1e-06,0.35564,17.704013,0.007094,0.1175,0.14666700000000002,0.01427,1.6936240000000002
lpv,0.02275,0.656015,4,0.328571,-0.0045,3.2e-05,0.028198,14.523829000000001,0.0008300000000000001,0.0075,0.385714,0.002238,0.974524
lpv,0.021,0.095178,2,0.313333,-0.002,-8e-06,0.18423,14.082073000000001,0.000708,0.006999999999999999,0.43,0.002059,12.057477
lpv,0.0215,0.656162,1,0.270833,0.0095,8.8e-05,0.079888,15.356770999999998,0.000736,0.008,0.3125,0.0020510000000000003,1.002809
lpv,0.02,0.025031,2,0.333333,-0.009000000000000001,-8e-06,0.009882,14.110714000000002,0.000743,0.006,0.409524,0.0021969999999999997,17.038991
ecl,0.114,0.000394,1,0.326667,0.034,1.3000000000000001e-05,0.126558,18.024393,0.003389,0.0445,0.326667,0.008545,0.27674699999999997
lpv,0.0185,0.113516,1,0.286667,0.006,-1e-06,0.078563,13.325207,0.000675,0.006,0.51,0.002326,12.560205
lpv,0.0105,0.6021310000000001,2,0.29787199999999997,0.003,9.7e-05,0.017228999999999998,15.413894,0.000373,0.004,0.31914899999999996,0.000973,0.9903350000000001
lpv,0.257,0.000236,14,0.343333,0.023,-0.000145,0.297114,14.917113,0.00855,0.08,0.413333,0.020693,121.13539499999999
rrlyr,0.245,0.000433,1,0.37333299999999997,0.055999999999999994,1e-06,0.338969,18.828886999999998,0.007537,0.1125,0.296667,0.021082,0.597021
lpv,0.0645,4e-05,3,0.346154,-0.033,-7.4e-05,0.041488,12.906317,0.002914,0.027000000000000003,0.384615,0.007668,41.065447
lpv,0.02,0.177097,2,0.28,0.003,1e-06,0.024568,15.210429999999999,0.0006900000000000001,0.006999999999999999,0.48,0.002696,20.895744
lpv,0.0225,0.708494,2,0.286667,0.0015,-4e-06,0.264375,15.842943,0.000686,0.006999999999999999,0.453333,0.002209,12.428027
rrlyr,0.349,0.0,1,0.403333,-0.20199999999999999,5e-05,16.853429000000002,16.280413,0.01188,0.1215,0.306667,0.030104000000000002,0.48471800000000004
rrlyr,0.41200000000000003,0.013683,3,0.3,0.136,0.0018960000000000001,61.182993999999994,20.000176999999997,0.010895,0.1555,0.393333,0.036631,0.5315989999999999
lpv,0.02,0.002855,5,0.27,0.011000000000000001,-1e-05,0.514517,15.84934,0.000647,0.006,0.59,0.00265,72.486988
lpv,0.0155,0.320036,2,0.347594,-0.002,-8e-06,0.086022,13.459588,0.000627,0.006,0.374332,0.001709,700.45668
rrlyr,0.2935,0.0,1,0.436667,-0.136,1.9e-05,0.320729,18.725647,0.009283,0.1375,0.22,0.022142,0.574448
lpv,0.0125,0.265296,5,0.31666700000000003,0.0,8e-06,0.704676,14.926807,0.00047000000000000004,0.005,0.483333,0.001407,169.691495
lpv,0.1825,0.0,7,0.357143,0.1105,0.000197,0.076722,13.6175,0.007840999999999999,0.063,0.366071,0.018915,1.003883
lpv,0.18,1e-06,5,0.283333,-0.0445,-2.6000000000000002e-05,0.5610470000000001,13.92919,0.006274,0.053,0.423333,0.017611,67.80452199999999
lpv,0.03275,0.16500599999999999,2,0.317757,-0.003,-5e-06,0.010597,13.893120999999999,0.001008,0.008,0.47663599999999995,0.002807,23.230941
lpv,0.013000000000000001,0.07121,2,0.282828,-0.005,-4e-06,0.031495999999999996,13.474302999999999,0.00048300000000000003,0.004,0.47474700000000003,0.001484,0.157904
cep,0.17300000000000001,0.0,1,0.423333,-0.057,-5.7999999999999994e-05,0.300325,16.736413,0.006144,0.0825,0.213333,0.013765000000000001,1.845523
lpv,0.0365,0.073499,2,0.24,0.023,-5e-06,0.209644,11.74003,0.0013800000000000002,0.01,0.5,0.005494,0.501604
lpv,0.0495,0.00235,13,0.331395,-0.035,-9.6e-05,0.141132,14.909673999999999,0.001526,0.016,0.372093,0.004895,743.7192
lpv,0.013999999999999999,0.33035,5,0.347826,-0.005,-1.1e-05,0.635324,13.589185,0.000542,0.005,0.347826,0.001325,0.991772
lpv,0.037000000000000005,0.0,16,0.426667,0.003,3.8e-05,1.134846,14.599093,0.0015220000000000001,0.02,0.27,0.003631,45.356736
rrlyr,0.337,0.0,1,0.282828,-0.368,-5.1e-05,0.595037,15.964263,0.012232,0.085,0.47474700000000003,0.033418,0.507437
ecl,0.0145,0.046917,10,0.343333,-0.0005,-0.000352,2.059087,14.283079999999998,0.000552,0.006,0.303333,0.0015400000000000001,0.817444
lpv,0.031,0.781974,1,0.303333,0.0,1e-06,0.465463,13.48235,0.001166,0.011000000000000001,0.436667,0.0037090000000000005,0.513141
lpv,0.06075,0.027964,1,0.240385,0.028999999999999998,-8e-06,0.56926,13.041279,0.002651,0.0225,0.432692,0.010541,23.372931
lpv,0.042,0.139076,2,0.37666700000000003,-0.001,0.0,0.132475,13.17893,0.001703,0.017,0.363333,0.004325,22.398619
lpv,0.0375,0.074146,3,0.35,0.0135,-1.1e-05,1.204819,13.35883,0.001401,0.013000000000000001,0.37333299999999997,0.004267,29.883240999999998
lpv,0.013999999999999999,0.11086199999999999,2,0.313333,0.0,-4e-06,0.159134,14.523167,0.000471,0.004,0.41,0.001239,184.35727
lpv,0.0555,0.147226,4,0.336667,-0.0115,-4e-06,1.070336,14.159313000000001,0.001956,0.0215,0.356667,0.005826,0.9758479999999999
